YearEnd,LocationAbbr,Data_Value,Low_Confidence_Limit,High_Confidence_Limit
2016,US,29.6,29.3,29.8
2016,AL,35.7,34.2,37.3
2016,AK,31.4,28.5,34.4
2016,AZ,29,27.5,30.6
2016,AR,35.7,33.3,38.1
2016,CA,25,23.9,26.1
2016,CO,22.3,21.4,23.2
2016,CT,26,24.8,27.2
2016,DE,30.7,28.7,32.8
2016,DC,22.6,20.9,24.3
2016,FL,27.4,26.4,28.5
2016,GA,31.4,29.7,33.2
2016,HI,23.8,22.5,25.2
2016,ID,27.4,25.6,29.3
2016,IL,31.6,29.9,33.3
2016,IN,32.5,31.2,33.8
2016,IA,32,30.5,33.4
2016,KS,31.2,30.1,32.3
2016,KY,34.2,32.7,35.6
2016,LA,35.5,33.4,37.7
2016,ME,29.9,28.5,31.3
2016,MD,29.9,28.9,31
2016,MA,23.6,22.3,24.9
2016,MI,32.5,31.4,33.6
2016,MN,27.8,26.9,28.6
2016,MS,37.3,35.4,39.1
2016,MO,31.7,30,33.4
2016,MT,25.5,23.9,27.2
2016,NE,32,30.8,33.2
2016,NV,25.8,23.9,27.8
2016,NH,26.6,25,28.2
2016,NJ,27.4,25.7,29.1
2016,NM,28.3,26.6,30.1
2016,NY,25.5,24.6,26.5
2016,NC,31.8,30.4,33.3
2016,ND,31.9,30.3,33.6
2016,OH,31.5,30.2,32.8
2016,OK,32.8,31.2,34.3
2016,OR,28.7,27.3,30.3
2016,PA,30.3,28.8,31.8
2016,RI,26.6,24.9,28.4
2016,SC,32.3,31,33.6
2016,SD,29.6,27.6,31.7
2016,TN,34.8,33,36.7
2016,TX,33.7,31.9,35.4
2016,UT,25.4,24.2,26.5
2016,VT,27.1,25.5,28.7
2016,VA,29,27.7,30.3
2016,WA,28.6,27.6,29.6
2016,WV,37.7,36.3,39
2016,WI,30.7,29,32.5
2016,WY,27.7,25.7,29.8
