County,Obese,FIPS,State
Alamance,34,37001,NC
Alexande,33,37003,NC
Alleghan,26,37005,NC
Anson,35,37007,NC
Ashe,26,37009,NC
Avery,26,37011,NC
Beaufort,33,37013,NC
Bertie,36,37015,NC
Bladen,35,37017,NC
Brunswic,29,37019,NC
Buncombe,23,37021,NC
Burke,32,37023,NC
Cabarrus,28,37025,NC
Caldwell,31,37027,NC
Camden,32,37029,NC
Carteret,26,37031,NC
Caswell,36,37033,NC
Catawba,31,37035,NC
Chatham,27,37037,NC
Cherokee,29,37039,NC
Chowan,32,37041,NC
Clay,29,37043,NC
Clevelan,32,37045,NC
Columbus,31,37047,NC
Craven,30,37049,NC
Cumberla,32,37051,NC
Currituc,28,37053,NC
Dare,28,37055,NC
Davidson,30,37057,NC
Davie,28,37059,NC
Duplin,29,37061,NC
Durham,28,37063,NC
Edgecomb,39,37065,NC
Forsyth,29,37067,NC
Franklin,32,37069,NC
Gaston,34,37071,NC
Gates,34,37073,NC
Graham,31,37075,NC
Granvill,37,37077,NC
Greene,34,37079,NC
Guilford,28,37081,NC
Halifax,39,37083,NC
Harnett,33,37085,NC
Haywood,26,37087,NC
Henderso,24,37089,NC
Hertford,35,37091,NC
Hoke,35,37093,NC
Hyde,30,37095,NC
Iredell,28,37097,NC
Jackson,32,37099,NC
Johnston,35,37101,NC
Jones,34,37103,NC
Lee,29,37105,NC
Lenoir,36,37107,NC
Lincoln,29,37109,NC
Macon,25,37113,NC
Madison,25,37115,NC
Martin,36,37117,NC
McDowell,30,37111,NC
Mecklenb,24,37119,NC
Mitchell,29,37121,NC
Montgome,32,37123,NC
Moore,28,37125,NC
Nash,31,37127,NC
New Hano,26,37129,NC
Northamp,38,37131,NC
Onslow,26,37133,NC
Orange,20,37135,NC
Pamlico,32,37137,NC
Pasquota,34,37139,NC
Pender,29,37141,NC
Perquima,33,37143,NC
Person,33,37145,NC
Pitt,34,37147,NC
Polk,27,37149,NC
Randolph,30,37151,NC
Richmond,37,37153,NC
Robeson,39,37155,NC
Rockingh,34,37157,NC
Rowan,34,37159,NC
Rutherfo,28,37161,NC
Sampson,39,37163,NC
Scotland,37,37165,NC
Stanly,30,37167,NC
Stokes,34,37169,NC
Surry,29,37171,NC
Swain,35,37173,NC
Transylv,24,37175,NC
Tyrrell,31,37177,NC
Union,27,37179,NC
Vance,37,37181,NC
Wake,25,37183,NC
Warren,38,37185,NC
Washingt,33,37187,NC
Watauga,26,37189,NC
Wayne,35,37191,NC
Wilkes,26,37193,NC
Wilson,38,37195,NC
Yadkin,32,37197,NC
Yancey,27,37199,NC
