FIPS,StateAbbr,State,MHI
24,MD,Maryland,78787
34,NJ,New Jersey,76212
2,AK,Alaska,76144
25,MA,Massachusetts,75207
15,HI,Hawaii,74659
11,DC,District of Columbia,74093
9,CT,Connecticut,73380
33,NH,New Hampshire,70986
51,VA,Virginia,68127
6,CA,California,67715
53,WA,Washington,67064
49,UT,Utah,65931
8,CO,Colorado,65718
27,MN,Minnesota,65583
36,NY,New York,62700
10,DE,Delaware,62112
38,ND,North Dakota,61898
56,WY,Wyoming,61686
17,IL,Illinois,60977
44,RI,Rhode Island,60046
50,VT,Vermont,57661
0,US,United States,57617
41,OR,Oregon,57379
31,NE,Nebraska,56979
42,PA,Pennsylvania,56897
55,WI,Wisconsin,56808
48,TX,Texas,56583
19,IA,Iowa,56354
32,NV,Nevada,55201
46,SD,South Dakota,54926
20,KS,Kansas,54828
4,AZ,Arizona,53481
13,GA,Georgia,53468
23,ME,Maine,52926
26,MI,Michigan,52436
39,OH,Ohio,52357
18,IN,Indiana,52289
29,MO,Missouri,51713
16,ID,Idaho,51647
12,FL,Florida,50857
37,NC,North Carolina,50595
30,MT,Montana,50265
45,SC,South Carolina,49587
40,OK,Oklahoma,49204
47,TN,Tennessee,48506
35,NM,New Mexico,46844
21,KY,Kentucky,46610
1,AL,Alabama,46309
22,LA,Louisiana,45374
5,AR,Arkansas,44406
54,WV,West Virginia,43175
28,MS,Mississippi,41793
