County,Obese
Alamance,34%
Alexander,33%
Alleghany,26%
Anson,35%
Ashe,26%
Avery,26%
Beaufort,33%
Bertie,36%
Bladen,35%
Brunswick,29%
Buncombe,23%
Burke,32%
Cabarrus,28%
Caldwell,31%
Camden,32%
Carteret,26%
Caswell,36%
Catawba,31%
Chatham,27%
Cherokee,29%
Chowan,32%
Clay,29%
Cleveland,32%
Columbus,31%
Craven,30%
Cumberland,32%
Currituck,28%
Dare,28%
Davidson,30%
Davie,28%
Duplin,29%
Durham,28%
Edgecombe,39%
Forsyth,29%
Franklin,32%
Gaston,34%
Gates,34%
Graham,31%
Granville,37%
Greene,34%
Guilford,28%
Halifax,39%
Harnett,33%
Haywood,26%
Henderson,24%
Hertford,35%
Hoke,35%
Hyde,30%
Iredell,28%
Jackson,32%
Johnston,35%
Jones,34%
Lee,29%
Lenoir,36%
Lincoln,29%
Macon,25%
Madison,25%
Martin,36%
McDowell,30%
Mecklenburg,24%
Mitchell,29%
Montgomery,32%
Moore,28%
Nash,31%
New Hanover,26%
Northampton,38%
Onslow,26%
Orange,20%
Pamlico,32%
Pasquotank,34%
Pender,29%
Perquimans,33%
Person,33%
Pitt,34%
Polk,27%
Randolph,30%
Richmond,37%
Robeson,39%
Rockingham,34%
Rowan,34%
Rutherford,28%
Sampson,39%
Scotland,37%
Stanly,30%
Stokes,34%
Surry,29%
Swain,35%
Transylvania,24%
Tyrrell,31%
Union,27%
Vance,37%
Wake,25%
Warren,38%
Washington,33%
Watauga,26%
Wayne,35%
Wilkes,26%
Wilson,38%
Yadkin,32%
Yancey,27%
