YearEnd,LocationAbbr,Data_Value,Low_Confidence_Limit,High_Confidence_Limit
2017,US,19,18.7,19.3
2017,AL,19.3,17.9,20.7
2017,AK,19,16.5,21.8
2017,AZ,20.8,19.8,21.8
2017,AR,19.3,17.2,21.7
2017,CA,21.4,20.2,22.7
2017,CO,17.4,16.4,18.5
2017,CT,16.9,15.7,18.1
2017,DE,17.2,15.5,19.1
2017,DC,13.7,12.4,15.2
2017,FL,19.4,18,20.8
2017,GA,18.1,16.8,19.5
2017,HI,21,19.7,22.5
2017,ID,15.9,14.4,17.5
2017,IL,21.3,19.8,22.8
2017,IN,19.2,18.2,20.2
2017,IA,19.3,18.2,20.4
2017,KS,17.3,16.6,18
2017,KY,17,15.7,18.5
2017,LA,23.9,22.1,25.7
2017,ME,12.4,11.3,13.7
2017,MD,18.3,17.1,19.6
2017,MA,16.7,15.1,18.4
2017,MI,18.5,17.5,19.5
2017,MN,18,17.2,18.9
2017,MS,21.4,19.6,23.2
2017,MO,16.9,15.7,18.2
2017,MT,15.1,13.7,16.5
2017,NE,20,18.9,21.1
2017,NV,22.1,19.9,24.4
2017,NH,13.7,12.2,15.3
2017,NJ,19.1,17.8,20.4
2017,NM,20.5,19,22
2017,NY,20.3,19.2,21.4
2017,NC,15.6,14.2,17.2
2017,ND,19.8,18.4,21.2
2017,OH,18.7,17.5,19.8
2017,OK,17.1,15.8,18.5
2017,OR,16.4,15.2,17.8
2017,PA,16.4,15.1,17.7
2017,RI,17.9,16.3,19.6
2017,SC,18,17,19.2
2017,SD,16.9,15.2,18.7
2017,TN,15.8,14.4,17.3
2017,TX,21.9,20.3,23.7
2017,UT,17.3,16.3,18.4
2017,VT,12.9,11.6,14.2
2017,VA,15.8,14.7,17
2017,WA,16.8,15.9,17.7
2017,WV,18.3,17,19.7
2017,WI,19,17.5,20.6
2017,WY,15.3,13.9,16.8
2017,GU,26.7,23.8,29.9
2017,PR,46,44,48
2017,VI,~,~,
